Score,Source IP,Destination IP,Connections,Avg. Bytes,Intvl Range,Size Range,Top Intvl,Top Size,Top Intvl Count,Top Size Count,Intvl Skew,Size Skew,Intvl Dispersion,Size Dispersion
0.888,192.168.6.196,192.168.6.53,1989,254,557,466,1,126,565,1860,0,0,0,0
0.842,192.168.6.197,192.168.6.1,307,195,297,248,300,75,113,294,0,0,0,0
0.834,192.168.6.196,91.189.89.198,22,155,33,76,2048,76,15,21,0,0,0,0
0.834,192.168.6.198,91.189.91.157,30,152,1,0,2048,76,22,30,0,0,0,0
0.834,192.168.6.199,91.189.89.198,29,152,1,0,2048,76,20,29,0,0,0,0
0.834,192.168.6.197,91.189.94.4,22,152,1,0,2048,76,16,22,0,0,0,0
0.732,192.168.6.1,192.168.6.196,136,96,2786,0,96,48,19,136,0.333333,0,9,0
0.688,192.168.6.1,192.168.6.197,217,96,12705,0,96,48,20,217,0.444444,0,14,0
0.665,192.168.6.197,104.16.248.249,65,5966,2102,356,300,1466,24,34,0,0,300,0
0.616,192.168.6.199,192.168.6.1,52,195,3641,320,24,72,1,36,-0.316436,0,919,0
0.602,192.168.6.199,45.33.32.156,927,9130,638,636,79,607,24,288,-0.0322581,0,15,52
0.564,192.168.6.198,192.168.6.1,41,196,4079,248,4336,79,7,28,-0.625341,0,550,0
0.495,192.168.6.197,104.16.249.249,83,5984,1201,276,300,1466,41,36,0.993355,0,1,40
0.458,192.168.6.198,213.136.8.188,56,3.69671e+06,2,43896,1084,162968,51,2,0,-0.265306,0,436
